Date,Ticker,Trade_Weight,Direction
2023-05-31,EOG,0.05263157894736842,Buy
2023-05-31,EWI,0.05263157894736842,Buy
2023-05-31,DLTR,0.05263157894736842,Buy
2023-05-31,PPG,0.05263157894736842,Buy
2023-05-31,GOLD,0.05263157894736842,Buy
2023-05-31,A,0.05263157894736842,Buy
2023-05-31,TRP,0.05263157894736842,Buy
2023-05-31,RL,0.05263157894736842,Buy
2023-05-31,HYG,0.05263157894736842,Buy
2023-05-31,WSM,0.05263157894736842,Buy
2023-05-31,LOW,0.05263157894736842,Buy
2023-05-31,NSC,0.05263157894736842,Buy
2023-05-31,HMC,0.05263157894736842,Buy
2023-05-31,KMB,0.05263157894736842,Buy
2023-05-31,ENB,0.05263157894736842,Buy
2023-05-31,TRV,0.05263157894736842,Buy
2023-05-31,DPZ,0.05263157894736842,Buy
2023-05-31,ZUMZ,0.05263157894736842,Buy
2023-05-31,CAT,0.05263157894736842,Buy
2023-06-01,PPG,-0.05361608423911623,Sell
2023-06-01,A,0.00021520637037864,Buy
2023-06-01,HYG,-0.052463564544288147,Sell
2023-06-01,NSC,-0.05315990760170433,Sell
2023-06-01,CAG,0.05263157894736842,Buy
2023-06-01,JNJ,0.05263157894736842,Buy
2023-06-01,KMB,0.0006171506535544435,Buy
2023-06-01,TRV,-0.00015355260396284626,Sell
2023-06-01,DPZ,-0.053377436398930896,Sell
2023-06-01,EOG,-0.05256836947152792,Sell
2023-06-01,EWI,-0.05338031744501845,Sell
2023-06-01,DLTR,0.0025381577987984086,Buy
2023-06-01,XRT,0.05263157894736842,Buy
2023-06-01,GOLD,-0.05308959800008053,Sell
2023-06-01,WMB,0.05263157894736842,Buy
2023-06-01,TRP,-0.053476226724189405,Sell
2023-06-01,D,0.05263157894736842,Buy
2023-06-01,PVH,0.05263157894736842,Buy
2023-06-01,RL,0.0005891347404933037,Buy
2023-06-01,WSM,0.0002836620467160725,Buy
2023-06-01,LOW,-0.05287377106916094,Sell
2023-06-01,DUK,0.05263157894736842,Buy
2023-06-01,HMC,-0.052939684214556595,Sell
2023-06-01,CME,0.05263157894736842,Buy
2023-06-01,CP,0.05263157894736842,Buy
2023-06-01,PRGO,0.05263157894736842,Buy
2023-06-01,SYK,0.05263157894736842,Buy
2023-06-01,XLE,0.05263157894736842,Buy
2023-06-01,ENB,-0.05366153527570876,Sell
2023-06-01,ZUMZ,-0.050949639267212944,Sell
2023-06-01,CAT,-0.000360286346646331,Sell
2023-06-02,BAX,0.05263157894736842,Buy
2023-06-02,A,0.000582988017412446,Buy
2023-06-02,BUD,0.05263157894736842,Buy
2023-06-02,CAG,-0.052241501537555746,Sell
2023-06-02,QCOM,0.05263157894736842,Buy
2023-06-02,JNJ,-0.05199050774788501,Sell
2023-06-02,KMB,-0.05201118398039064,Sell
2023-06-02,TRV,-0.05233010023222147,Sell
2023-06-02,BDX,0.05263157894736842,Buy
2023-06-02,EWI,0.05263157894736842,Buy
2023-06-02,SIRI,0.05263157894736842,Buy
2023-06-02,DLTR,-0.05278571489628437,Sell
2023-06-02,XRT,-0.0007904821353855451,Sell
2023-06-02,KGC,0.05263157894736842,Buy
2023-06-02,WMB,-0.0531550150109545,Sell
2023-06-02,D,0.0005688106841760243,Buy
2023-06-02,PVH,0.0015643179474963895,Buy
2023-06-02,RL,-0.054316924914412694,Sell
2023-06-02,HUM,0.05263157894736842,Buy
2023-06-02,WSM,-0.000629542058007207,Sell
2023-06-02,LOW,0.05263157894736842,Buy
2023-06-02,PCG,0.05263157894736842,Buy
2023-06-02,DUK,-0.05209181224714101,Sell
2023-06-02,NTES,0.05263157894736842,Buy
2023-06-02,CME,-0.0526869407068243,Sell
2023-06-02,CP,-0.05280284713608414,Sell
2023-06-02,PRGO,-0.052670476429540966,Sell
2023-06-02,SYK,0.0014955180885576347,Buy
2023-06-02,BSX,0.05263157894736842,Buy
2023-06-02,XLE,-0.00011196200249401211,Sell
2023-06-02,CAT,-0.055484808673348686,Sell
2023-06-05,BAX,-0.0005783992643190253,Sell
2023-06-05,A,-0.052859233276555936,Sell
2023-06-05,BUD,0.0004753854935054952,Buy
2023-06-05,NSC,0.05263157894736842,Buy
2023-06-05,GREK,0.05263157894736842,Buy
2023-06-05,QCOM,0.0011502104824210255,Buy
2023-06-05,DPZ,0.05263157894736842,Buy
2023-06-05,EWC,0.05263157894736842,Buy
2023-06-05,BDX,-0.0006309245069122463,Sell
2023-06-05,EWI,0.000362195509050256,Buy
