Date,Ticker,Weight
2023-05-31,MBB,0.2
2023-05-31,PFIS,0.2
2023-05-31,DHIL,0.2
2023-05-31,ALGT,0.2
2023-05-31,CRUS,0.2
2023-06-01,AADR,0.2
2023-06-01,MCRI,0.2
2023-06-01,QABA,0.2
2023-06-01,CYBR,0.2
2023-06-01,EA,0.2
2023-06-02,NDAQ,0.2
2023-06-02,BPOP,0.2
2023-06-02,VGLT,0.2
2023-06-02,FOXA,0.2
2023-06-02,IPAR,0.2
2023-06-05,ASO,0.2
2023-06-05,ORLY,0.2
2023-06-05,FROG,0.2
2023-06-05,WLFC,0.2
2023-06-05,BBH,0.2
2023-06-06,BLTE,0.2
2023-06-06,UFO,0.2
2023-06-06,MDLZ,0.2
2023-06-06,PSCT,0.2
2023-06-06,TRI,0.2
2023-06-07,APPF,0.2
2023-06-07,ARCB,0.2
2023-06-07,OKTA,0.2
2023-06-07,SQQQ,0.2
2023-06-07,WGS,0.2
2023-06-08,TEAM,0.2
2023-06-08,EBAY,0.2
2023-06-08,NFTY,0.2
2023-06-08,IXUS,0.2
2023-06-08,POWL,0.2
2023-06-09,CHRW,0.2
2023-06-09,THFF,0.2
2023-06-09,DHIL,0.2
2023-06-09,RYTM,0.2
2023-06-09,LRCX,0.2
2023-06-12,VONE,0.2
2023-06-12,FSLR,0.2
2023-06-12,LOPE,0.2
2023-06-12,LFUS,0.2
2023-06-12,ERIE,0.2
2023-06-13,ENTG,0.2
2023-06-13,NWPX,0.2
2023-06-13,JBHT,0.2
2023-06-13,FDTS,0.2
2023-06-13,DGRW,0.2
2023-06-14,UMBF,0.2
2023-06-14,HAS,0.2
2023-06-14,WLDN,0.2
2023-06-14,AVT,0.2
2023-06-14,IUSB,0.2
2023-06-15,GNOM,0.2
2023-06-15,GOOGL,0.2
2023-06-15,MEOH,0.2
2023-06-15,TQQQ,0.2
2023-06-15,QQQH,0.2
2023-06-16,BIDU,0.2
2023-06-16,AIRR,0.2
2023-06-16,DXCM,0.2
2023-06-16,TCBK,0.2
2023-06-16,TER,0.2
2023-06-20,ZEUS,0.2
2023-06-20,STX,0.2
2023-06-20,GH,0.2
2023-06-20,AMBA,0.2
2023-06-20,LSCC,0.2
2023-06-21,NOVT,0.2
2023-06-21,PLPC,0.2
2023-06-21,CWST,0.2
2023-06-21,USXF,0.2
2023-06-21,POOL,0.2
2023-06-22,USOI,0.2
2023-06-22,SOXQ,0.2
2023-06-22,DOO,0.2
2023-06-22,SHV,0.2
2023-06-22,LMBS,0.2
2023-06-23,DIOD,0.2
2023-06-23,STRA,0.2
2023-06-23,ASTS,0.2
2023-06-23,DXCM,0.2
2023-06-23,NBN,0.2
